#Table 1 from Veale+2018, MASSIVE VIII
#########################################################################################################
Galaxy	MK	log10Mstar	gammae	sigmac	avgsigmae	gammainner	gammaouter	avgh4	h4 env	log10Mhalo	1plusdeltag	nu10
#	(mag)	(M⊙)		   (kms−1) (kms−1)						(M⊙)		(ν)
#(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
#########################################################################################################
NGC2320 	-25.93 	11.87 	0.235 	340 	298 	-0.167 	(0.000) 	0.037 	0.028 	B 	14.2 	7.94 	650 
UGC03683 	-25.52 	11.69 	0.090 	257 	257 	-0.051 	(-0.093) 	0.024 	-0.090 	B 	13.6 	5.75 	26 
NGC2332 	-25.39 	11.63 	0.037 	254 	224 	-0.121 	-0.123 	0.029 	-0.033 	S 	14.2 	7.76 	1500 
NGC2340 	-25.90 	11.86 	0.029 	232 	235 	-0.028 	0.033 	0.018 	0.004 	S 	14.2 	7.76 	1200 
UGC03894 	-25.58 	11.72 	0.122 	297 	255 	-0.142 	-0.107 	0.036 	0.025 	B 	13.7 	1.55 	1.5 
NGC2418 	-25.42 	11.64 	0.241 	245 	217 	-0.176 	(-0.236) 	0.041 	-0.029 	I 	 0. 	2.24 	1.4 
NGC2513 	-25.52 	11.69 	0.095 	280 	253 	-0.071 	-0.127 	-0.004 	-0.025 	B 	13.6 	2.34 	5.1 
NGC2672 	-25.60 	11.72 	0.095 	273 	262 	-0.055 	(-0.033) 	0.028 	-0.009 	B 	13.0 	1.32 	1.2 
NGC2693 	-25.76 	11.79 	0.295 	327 	296 	-0.061 	0.087 	0.035 	-0.011 	I 	 0. 	1.70 	6.8 
NGC2783 	-25.72 	11.78 	0.042 	252 	264 	0.034 	0.012 	0.047 	-0.007 	B 	12.8 	3.24 	4.6 
NGC2832 	-26.42 	12.08 	0.071 	327 	291 	-0.093 	0.096 	0.054 	0.005 	B(A779) 	13.7 	3.98 	7.8 
NGC2892 	-25.70 	11.77 	0.046 	237 	234 	0.013 	-0.154 	0.051 	0.004 	I 	 0. 	2.19 	2.2 
NGC3158 	-26.28 	12.02 	0.255 	301 	289 	-0.034 	0.009 	0.032 	0.009 	B 	13.3 	2.69 	9.5 
NGC3209 	-25.55 	11.70 	0.039 	288 	247 	-0.146 	(-0.018) 	0.005 	-0.025 	B 	11.8 	2.40 	2.7 
NGC3462 	-25.62 	11.73 	0.085 	233 	214 	-0.048 	-0.326 	-0.017 	-0.015 	I 	 0. 	2.24 	2.5 
NGC3562 	-25.65 	11.75 	0.038 	250 	241 	-0.069 	-0.140 	0.028 	-0.021 	B 	13.5 	2.24 	8.3 
NGC3615 	-25.58 	11.72 	0.399 	268 	232 	-0.232 	0.114 	-0.030 	-0.044 	B 	13.6 	3.09 	5.1 
NGC3805 	-25.69 	11.76 	0.496 	266 	225 	-0.262 	0.086 	0.019 	-0.060 	S(A1367) 	14.8 	5.62 	430 
NGC3816 	-25.40 	11.64 	0.105 	212 	191 	-0.016 	-0.142 	-0.038 	-0.055 	S(A1367) 	14.8 	5.75 	1900 
NGC3842 	-25.91 	11.86 	0.038 	262 	231 	-0.098 	(0.046) 	0.022 	-0.000 	B(A1367) 	14.8 	5.89 	18000 
NGC3862 	-25.50 	11.68 	0.045 	248 	228 	-0.069 	0.105 	-0.005 	-0.068 	S(A1367) 	14.8 	5.89 	18000 
NGC3937 	-25.62 	11.73 	0.074 	292 	243 	-0.150 	(0.042) 	0.015 	-0.002 	B 	14.2 	5.89 	69 
NGC4073 	-26.33 	12.05 	0.023 	316 	292 	-0.101 	0.199 	0.034 	0.043 	B 	13.9 	4.37 	87 
NGC4472 	-25.72 	11.78 	0.197 	292 	258 	-0.074 	(-0.088) 	0.023 	0.020 	B(Virgo) 	14.7 	8.91 	1800 
NGC4555 	-25.92 	11.86 	0.120 	328 	277 	-0.097 	-0.366 	0.044 	0.022 	I 	0.  	5.89 	6.2 
NGC4816 	-25.33 	11.61 	0.069 	217 	207 	-0.031 	-0.017 	0.003 	0.002 	S(Coma) 	15.3 	13.18 	1900 
NGC4839 	-25.85 	11.83 	0.053 	261 	275 	-0.026 	(0.298) 	0.061 	0.099 	S(Coma) 	15.3 	13.18 	2600 
NGC4874 	-26.18 	11.98 	0.070 	251 	258 	-0.030 	0.255 	0.046 	0.051 	S(Coma) 	15.3 	13.18 	23000 
NGC4889 	-26.64 	12.18 	0.032 	370 	337 	-0.128 	0.087 	0.051 	0.055 	B(Coma) 	15.3 	13.18 	18000 
NGC4914 	-25.72 	11.78 	0.054 	233 	225 	-0.023 	-0.213 	0.005 	-0.032 	I 	0. 	 1.12 	1.1 
NGC5129 	-25.92 	11.86 	0.402 	260 	222 	-0.172 	0.203 	0.024 	0.029 	I 	 0. 	4.27 	4.8 
NGC5208 	-25.61 	11.73 	0.615 	270 	235 	-0.226 	(0.467) 	0.001 	-0.024 	B 	13.0 	5.01 	15 
NGC5322 	-25.51 	11.68 	0.054 	246 	239 	-0.073 	(-0.178) 	-0.002 	-0.031 	B 	13.7 	2.45 	20 
NGC5353 	-25.45 	11.66 	0.551 	277 	225 	-0.141 	(0.277) 	0.018 	-0.037 	B 	13.6 	2.63 	62 
NGC5490 	-25.57 	11.71 	0.138 	349 	282 	-0.272 	(0.345) 	0.056 	0.020 	I 	 0. 	2.14 	9.5 
NGC5557 	-25.46 	11.66 	0.035 	279 	223 	-0.153 	(0.120) 	0.015 	-0.056 	B 	13.3 	2.57 	8.3 
NGC6223 	-25.59 	11.72 	0.315 	274 	238 	-0.127 	(-0.304) 	0.008 	0.006 	B 	13.5 	1.55 	6.0 
NGC6375 	-25.53 	11.69 	0.240 	226 	187 	-0.128 	(-0.119) 	0.021 	-0.042 	I 	 0. 	1.17 	1.5 
UGC10918 	-25.75 	11.79 	0.034 	247 	249 	-0.121 	0.185 	0.018 	0.051 	I 	0.  	1.78 	4.7 
NGC6482 	-25.60 	11.72 	0.137 	305 	291 	-0.066 	-0.174 	0.009 	-0.033 	B 	13.1 	1.58 	1.0 
NGC6575 	-25.58 	11.72 	0.124 	264 	234 	-0.098 	(-0.156) 	-0.011 	-0.000 	I 	 0. 	2.09 	4.9 
NGC7052 	-25.67 	11.75 	0.148 	298 	266 	-0.093 	-0.199 	0.045 	0.017 	I 	0.  	1.32 	0.8 
NGC7242 	-26.34 	12.05 	0.037 	255 	283 	0.020 	0.118 	0.043 	0.031 	B 	14.0 	6.31 	2700 
NGC7265 	-25.93 	11.87 	0.039 	230 	206 	-0.112 	-0.034 	-0.003 	-0.061 	B 	14.7 	6.92 	5100 
NGC7274 	-25.39 	11.63 	0.090 	259 	244 	-0.089 	0.230 	0.030 	0.003 	S 	14.7 	6.92 	3200 
NGC7386 	-25.58 	11.72 	0.071 	312 	273 	-0.071 	-0.009 	0.031 	-0.003 	B 	13.9 	2.57 	3.1 
NGC7426 	-25.74 	11.79 	0.563 	284 	219 	-0.345 	0.099 	0.031 	-0.048 	B 	13.8 	3.80 	8.3 
NGC7436 	-26.16 	11.97 	0.085 	280 	263 	-0.092 	0.251 	0.043 	0.022 	B 	14.4 	4.07 	100 
NGC7550 	-25.43 	11.65 	0.038 	270 	224 	-0.117 	-0.373 	0.005 	-0.030 	B 	11.9 	0.93 	1.0 
NGC7556 	-25.83 	11.83 	0.049 	253 	243 	-0.013 	0.093 	0.029 	0.049 	B 	14.0 	2.00 	17 
NGC7618 	-25.44 	11.65 	0.247 	292 	265 	-0.127 	-0.140 	0.022 	-0.014 	B 	13.7 	3.16 	240 
NGC7619 	-25.65 	11.75 	0.119 	325 	277 	-0.155 	(0.073) 	0.020 	-0.002 	B 	14.0 	1.55 	21 
NGC7626 	-25.65 	11.75 	0.034 	269 	250 	-0.042 	(-0.416) 	0.045 	-0.019 	S 	14.0 	1.55 	21 
